Month,X_Yuan,Y_Wage
2022-07,3.8318,1471.7
2022-08,3.8368,1463.2
2022-09,3.6343,1637.0
2022-10,3.5608,1636.4
2022-11,3.4352,1648.2
2022-12,3.6013,1915.6
2023-01,3.8934,1684.9
2023-02,4.0904,1687.8
2023-03,4.1166,1814.2
2023-04,4.2884,1795.9
2023-05,4.1001,1861.1
2023-06,4.2024,1927.1
2023-07,4.2144,1644.0
2023-08,4.4915,1665.5
2023-09,4.4740,1939.8
2023-10,4.5056,1971.2
2023-11,4.3260,1975.6
2023-12,4.4098,2246.8
2024-01,4.3793,2005.6
2024-02,4.4486,2025.7
2024-03,4.4878,2161.1
2024-04,4.4900,2182.5
2024-05,4.4426,2219.2
2024-06,4.3590,2270.0
2024-07,4.3912,2355.1
