======================================================================
отчет
======================================================================

размер (n)      | погрешность (вращения)    | погрешность (гаусс)      
----------------------------------------------------------------------
5               | 2.719480e-16              | 1.870981e-15             
25              | 7.144352e-15              | 9.338280e-10             
45              | 2.166244e-14              | 5.636113e-04             
65              | 4.970527e-14              | 1.484666e+02             
85              | 7.229803e-14              | 1.084869e+09             
105             | 1.157663e-13              | 1.125911e+15             
125             | 1.323059e-13              | 1.320083e+21             
145             | 1.798126e-13              | 1.944079e+26             
165             | 2.438165e-13              | 1.347827e+33             
185             | 2.861828e-13              | 8.523638e+37             
205             | 3.686597e-13              | 7.413164e+44             
225             | 4.311258e-13              | 8.641524e+50             
245             | 4.850325e-13              | 1.371417e+55             
265             | 5.273387e-13              | 9.666522e+62             
285             | 5.516158e-13              | 1.111629e+68             
305             | 6.481215e-13              | 5.838663e+73             
325             | 7.343868e-13              | 6.942789e+80             
345             | 8.385313e-13              | 4.973862e+86             
365             | 9.661894e-13              | 2.632767e+92             
385             | 1.038542e-12              | 1.367099e+98             
405             | 1.104084e-12              | 1.477553e+104            
425             | 1.221218e-12              | 1.878838e+109            
445             | 1.301131e-12              | 8.887048e+115            
465             | 1.411150e-12              | 3.724272e+122            
485             | 1.480477e-12              | 1.953529e+128            
505             | 1.579880e-12              | 4.190326e+134            
----------------------------------------------------------------------
